Flora,x,,,,
watchx,x,,,,
bluewear,x,,,,
understandingtouch,,,x,,
omnitouch,,,x,,
techtats,,,x,,
watchstretch,,x,,,
snapcomp,,x,,,
janknibbs,,,,,x
makeitblue,,x,,,x
possibletomorrows,,,,,x
neutralite,,,,,x
incertitudes,,,,,x
nowherenowhere,,,,,x
playtime,,,,,x
dearpaul,,,,,x
walkingcity,,,,,x
livingpod,,,,,x
theshow,,,,,x
iridescence,,,,,x
opale,,,,,x
bodyscape,,,,,x
libertyleading,,,,,x
birthvenus,,,,,x
caressgaze,,,,,x
synapse,,,,,x
ruff,,,,,x
solardresspvd,,x,,,x
solarshirtpvd,,,,,x
issho,,,,,x
vigour,,x,,,x
phototrope,,,,,x
between,,x,,,
fysiopal,,,,,x
eskin,,x,,,
vespers,,x,,,x
twitterdress,,x,,,x
graphenedress,,,,,x
mfadress,,,,,x
cognitivedress,,,,,x
eighthsense,,,,,x
water,,,,,x
aurainside,x,,,,x
wifidress,,,,,x
wimhaptic,,,,,x
amphibio,,,x,,x
escent,,,,x,
embcomputer,,x,,,x
glovesmimu,x,,,,
crochetres,x,,,,
trombonevest,x,,,,
priscilla,x,,,,
storytellvest,x,,,,
emfhoodie,x,,,,
lazyprogrammer,x,,,,
xavierdiscolele,x,,,,
jumpnorth,x,,,,
sebgeojacket,x,,,,
maurinmatrix,x,,,,
secondskin,,x,,,
etextilecrystal,x,,,,
memachine,x,,,,
tremor,,,,,x
ludinaturae,x,,,,x
seijaku,x,,,,x
shiftsouls,x,,,,x
betweenlines,x,,,,x
aurapt2,x,,,,x
cocktaildress,x,,,,
monitordress,x,,,,
symbiosis,x,,,,
phem,,x,,,x
apparel,,,,,x
mirrormirror,,x,,,
readings,,,,,x
wayuco,,,,,x
reshow,,,,,x
hyperfabric,,,x,,x
nebula,,x,,,
enchanted,,x,,,
hackthebody,,x,,,
kukkiavilkas,,x,,,
socialtextiles,,x,,,
chromosonic,,x,,,
spiderdress,,x,,,
soundshirt,,,,,x
videodress,,,,,x
lunardress,,,,,x
tvbgone,x,,,,
sparkleskirt,x,,x,,
citibike,x,,,,
scissordrive,x,,x,,
flexi8,x,,,,
beadedearrings,x,,,,
compubody,x,,x,,
hairscrunch,x,,,,
ledforwearables,x,,,,
ledflower,x,,,,
thirdeye,x,,,,
firefist,x,,,,
alzheimers,x,,,,
curiepattern,x,,,,
archowl,x,,,,
strokesensor,x,,,,
ledpartycoat,x,,,,
antifacialrecog,x,,,,
porcupinevest,x,,,,
nudgeables,,x,,,
fibreopticcoat,x,,,,
brainwavegarment,x,,,,
defoliationdress,x,,,,
grindbit,x,,,,
datatouch,x,,,,
fingerdrums,x,,,,
revealuxion,x,,,,x
talktome,,,,,x
codecreate,x,,,,
commaterials,,x,,,
comint,,x,,,
compvest,,x,,,
passcomp,,x,,,
smacom,,x,,,
knitcomp,,x,,,
surfcomtext,,x,,,
mobsupp,,x,,,
textbase,,x,,,
thermact,,x,,,
thermactext,,x,,,
activecontracting,,x,,,
orthostatic,,x,,,
intolgarm,,x,,,
actcom,,x,,,
multifuncgarm,,x,,,
elastsens,,x,,,
wearsurv,,x,,,
smartclothing,,x,,,
washability,,x,,,
coarsesense,,x,,,
garmstruct,,x,,,
optband,,x,,,
detectbend,,x,,,
garmbendsense,,x,,,
wearkneesensing,,x,,,
lowlimb,,x,,,
measuremove,,x,,,
stitchcharacterization,,x,,,
lowerbodysense,,x,,,
senslega,,x,,,
elastsens,,x,,,
abra,,x,,,
skinput,,x,,,
fabritouch,,x,,,
understandingtouch,,x,,,
digitspace,,x,,,
instaink,,x,,,
skinbut,,x,,,
sonarwatch,,x,,,
earput,,x,,,
skintillates,,x,,,
biopotential,,x,,,
soundtouch,,x,,,
touchbhand,,x,,,
senskin,,x,,,
jennyplaylist,x,,,,
smartsoccershoe,,x,,,
hairIO,,x,,,
electriccorset,,x,,,
alterwear,,x,,,
alternail,,x,,,
interioract,,x,,,
interarch,,x,,,
digitalmat,,x,,,
comcomp,,x,,,
seamlessseams,x,x,,,
micromaterial,,x,,,
pscreen,,x,,,
illum1,,x,,,
illum4,,x,,,
illum3,,x,,,
illum2,,x,,,
foldem,,x,,,
kiricomp,,x,,,
allone,,x,,,
circstick,,x,,,
metamech,,x,,,
beyonddevp,,x,,,
fractals,,x,,,
screenTEI,,x,,,
rapidsoftmatter,,x,,,
laserorigami,,x,,,
ebroidery,,x,,,
paperpulse,,x,,,
makersmark,,x,,,
midas,,x,,,
musicdeform,,x,,,
laserstacker,,x,,,
reverseelast,,x,,,
flexy,,x,,,
pedot,,x,,,
Stretchis,x,x,,,
blowfab,x,x,,,
isoft,x,x,,,
electrick,,x,,,
kiristick,,x,,,
dualkey,,x,,,
gglass,,x,,,
smartobj,,x,,,
ministudio,,x,,,
retrofab,,x,,,
novicesketch,,x,,,
under3d,,x,,,
combishape,,x,,,x
pmomo,,x,,,
bitdrones,,x,,,
embodiedsketching,,x,,,
beupright,,x,,,
bips,,x,,,
wabisabi,,x,,,
bricolage,,x,,,x
exoskin,,x,,,
arc,,x,,,
paperID,,x,,,
rapID,,x,,,
handmark,,x,,,
Grabrics,,x,,,
Interactex,,x,,,
MoodLens,,x,,,
measuring_sleep,,x,,,
Beach_Volleyball,,x,,,
Generic_Sensor_Fabric,,x,,,
virtual_food_texture,,x,,,
Bite_glasses,,x,,,
wearable_orientation,,x,,,
Reducing_Anxiety,,x,,,
Wrinkles,,x,,,
ambient_sound_display,,x,,,
wearable_visual_markers,,x,,,
Karuta,,x,,,
video_tutor,,x,,,
Garment_Sizes,,x,,,
GestureSleeve,,x,,,
RSVP,,x,,,
Whoosh,,x,,,
CircularSelection,,x,,,
WatchOut,,x,,,
Skin_Reading,,x,,,
Vibrotactile_Interactions,,x,,,
Tactile_Taps,,x,,,
RuttelFlu,,x,,,
VRmagnetic,,x,,,
EyeContact,,x,,,
Interpersonal_Distance,,x,,,
DigitalJewellery,,x,,,
SmartWatch,,x,,,
Morphology,,x,,,
ShapeTex,,x,,,
zPatch,,x,,,
InternetOfSounds,,x,,,
OPK,,x,,,
EMSPainter,,x,,,
DeepWear,,x,,,
ThouAndI,,x,,,
SKIN,,x,,,
Cyborganic,,x,,,
WeaveStructures,,x,,,
ONEDayShoes,,x,,,
Hooze,,x,,,
HandPuppet,,x,,,
AutoBra,,x,,,
RAKS,,x,,,
ambienBeat,,x,,,
GlassesDevice,,x,,,
TextilePatch,,x,,,
WearableBits,,x,,,
Orthorigami,,x,,,
AlwaysWithMe,,x,,,
SnapSnap,,x,,,
FeltPhoton,,x,,,
BackModule,,x,,,
HeartWaves,,x,,,
EDASelfInterface,,x,,,
Haplós,,x,,,
CircusScience,,x,,,
AuraMaton,,x,,,
MuscleSense,,x,,,
HeatCraft,,x,,,
amesaka,,x,,,
becker,,x,,,
lowCost_ultrasound,,x,,,
Swimming,,x,,,
strainSensorPerformance,,x,,,
sensingSwelling,,x,,,
BlinkSync,,x,,,
kineticGarments,,x,,,
BatterylessWearables,,x,,,
JacquardToolkit,,x,,,
TiPoint,,x,,,
SelfSync,,x,,,
InDexMo,,x,,,
wordRecognition,,x,,,
guitarSensing,,x,,,
legibilityHMD,,x,,,
TIARA,,x,,,
AnimalBiotelemetry,,x,,,
MorseHaptic,,x,,,
ReviewingToolKits,x,x,,,
OptimalMuscle,,x,,,
AlteredPinna,,x,,,
